EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,Heure moyenne par jour sur l'annee,Nombre de jour travailles
76,43,0,2,Research & Development,7,2,1,2,Manager,65000,8,23,0,10,3,1,0,0,3,2,3,06:34:53,238
77,45,0,2,Sales,3,1,1,1,Sales Executive,171740,9,14,1,12,6,10,9,8,4,3,3,06:35:00,242
78,40,0,2,Research & Development,2,4,0,4,Research Scientist,50330,2,14,2,6,6,4,0,2,2,2,3,08:46:28,231
79,29,1,2,Research & Development,29,3,1,1,Research Scientist,23070,1,13,1,7,0,7,0,7,2,2,3,09:14:00,230
80,29,0,2,Human Resources,8,3,0,3,Sales Representative,25870,0,22,2,4,3,3,2,2,2,3,3,06:19:29,239
81,30,0,2,Research & Development,10,3,0,2,Research Scientist,55070,1,12,2,10,2,10,1,2,4,3,2,06:44:45,232
82,27,0,2,Research & Development,11,2,0,1,Manager,43930,1,18,1,8,2,8,0,7,2,3,2,05:41:01,244
83,37,0,2,Sales,1,4,0,2,Healthcare Representative,133480,7,14,0,8,4,6,0,4,4,2,3,05:25:35,236
84,38,0,2,Research & Development,28,4,0,1,Laboratory Technician,65830,0,12,0,12,1,11,2,9,3,3,3,08:19:45,242
85,31,0,2,Research & Development,6,3,1,3,Manager,81030,1,15,1,11,5,11,4,10,3,NA,3,09:30:27,238
86,29,0,2,Research & Development,3,4,0,3,Sales Executive,39780,1,11,0,7,0,7,1,7,4,3,3,07:50:28,244
87,35,0,2,Sales,16,2,0,3,Manager,25440,0,13,1,17,3,16,0,13,3,3,4,07:03:48,233
88,23,0,2,Research & Development,20,4,0,1,Manufacturing Director,53990,1,23,0,4,2,4,0,2,3,2,2,06:27:07,237
89,41,0,2,Research & Development,9,2,1,1,Laboratory Technician,54870,6,19,2,8,0,5,1,2,4,3,3,08:52:19,239
90,47,0,3,Sales,1,3,1,2,Laboratory Technician,68340,3,16,1,5,2,0,0,0,2,3,4,07:06:55,239
91,42,0,2,Research & Development,3,4,0,1,Manager,10910,2,22,0,16,0,1,0,0,1,3,1,05:42:23,237
92,29,0,1,Sales,22,4,0,2,Human Resources,57360,1,22,0,4,1,4,0,2,4,2,2,05:37:47,233
93,42,0,2,Sales,7,4,0,3,Research Scientist,22260,0,12,1,4,3,3,1,0,3,3,2,07:42:54,228
94,32,0,2,Research & Development,2,3,0,2,Research Scientist,57470,1,13,0,8,0,8,0,7,3,3,3,06:50:05,231
95,48,0,2,Sales,13,4,0,4,Sales Executive,98540,3,16,1,15,2,0,0,0,1,1,2,06:31:57,233
96,37,0,2,Research & Development,8,5,0,2,Manufacturing Director,54670,4,12,0,13,2,7,6,7,3,3,3,10:13:09,247
97,30,0,1,Sales,25,4,0,1,Healthcare Representative,53800,7,21,1,4,0,2,2,2,4,4,3,09:45:49,245
98,26,0,2,Sales,28,3,1,5,Laboratory Technician,51510,1,15,3,8,3,8,7,7,3,3,3,05:34:51,243
99,42,0,2,Sales,2,2,1,1,Laboratory Technician,21330,3,13,2,14,2,1,0,0,1,3,3,05:35:52,239
100,21,1,3,Research & Development,9,3,1,4,Manufacturing Director,178750,1,12,0,3,5,3,1,2,1,3,2,07:36:14,244
101,36,0,1,Human Resources,28,3,0,2,Laboratory Technician,24320,4,22,0,7,4,1,0,0,4,3,1,06:29:40,232
102,36,0,3,Research & Development,6,3,1,2,Research Scientist,47710,4,13,1,16,2,13,1,12,1,3,3,06:28:44,238
103,57,0,2,Research & Development,21,4,0,5,Research Scientist,191610,2,18,0,15,2,3,1,2,4,3,1,05:41:51,235
104,40,0,2,Research & Development,8,3,0,2,Sales Executive,50870,3,14,1,10,3,7,1,7,4,3,3,07:15:23,233
105,21,0,1,Research & Development,1,5,1,2,Manager,28630,1,14,0,3,2,3,2,2,1,2,1,07:00:26,229
106,33,1,2,Human Resources,28,2,1,5,Manager,55610,1,21,1,1,3,1,0,0,4,3,1,09:18:04,231
107,37,0,2,Research & Development,5,3,0,4,Research Scientist,21440,6,19,0,17,3,5,0,3,3,3,4,07:04:28,231
108,46,0,1,Sales,2,4,1,2,Laboratory Technician,30650,2,11,0,7,3,1,0,0,3,4,3,05:19:55,228
109,41,1,3,Research & Development,16,1,1,1,Research Scientist,28100,1,11,0,8,3,8,7,7,1,3,4,06:46:26,233
110,50,0,2,Research & Development,9,3,1,3,Laboratory Technician,98880,6,15,0,20,2,4,1,3,4,3,3,06:04:19,230
111,40,1,2,Research & Development,8,3,1,1,Healthcare Representative,86280,2,20,0,8,2,6,1,0,3,3,2,08:20:04,234
112,31,0,2,Research & Development,1,3,0,4,Human Resources,28670,0,24,0,3,5,2,2,2,NA,3,3,10:11:06,246
113,21,1,2,Human Resources,10,2,0,1,Laboratory Technician,53730,1,12,1,1,2,1,0,0,3,3,3,05:16:59,230
114,29,0,2,Research & Development,1,3,1,2,Research Director,66670,9,12,1,6,6,3,1,2,4,3,4,07:18:40,245
115,35,0,2,Research & Development,29,3,1,3,Sales Executive,50030,9,15,0,10,2,1,0,0,3,3,3,06:58:42,236
116,27,0,2,Sales,2,3,0,1,Sales Executive,23670,NA,12,1,5,2,5,0,4,4,3,3,05:32:57,234
117,28,0,2,Research & Development,2,2,0,3,Manager,28580,1,12,0,7,2,7,0,7,2,3,2,06:19:46,232
118,49,0,2,Sales,2,3,0,2,Manufacturing Director,52040,8,14,1,26,3,5,0,0,2,3,3,07:11:44,240
119,51,0,2,Research & Development,1,2,0,1,Sales Executive,41050,4,22,1,18,2,7,0,7,3,2,3,06:39:22,228
120,36,0,2,Sales,15,2,0,1,Sales Executive,96790,4,12,0,6,1,2,2,2,4,3,3,05:22:53,234
121,34,1,1,Research & Development,7,3,0,1,Sales Representative,56170,8,25,1,9,3,5,0,4,1,2,3,08:12:19,235
122,55,0,2,Sales,26,3,0,1,Laboratory Technician,104480,2,13,0,30,3,5,1,2,3,3,3,07:51:08,236
123,24,0,2,Research & Development,1,3,1,5,Manager,28970,1,18,3,5,4,5,0,3,4,4,3,08:48:22,230
124,30,0,2,Research & Development,3,3,1,2,Manager,59680,1,13,0,1,3,1,0,0,3,3,3,06:06:27,231
125,26,1,3,Sales,14,3,0,2,Manager,75100,0,18,3,7,3,6,0,4,3,3,3,06:26:10,240
126,22,0,2,Research & Development,16,5,0,1,Research Scientist,29910,1,19,2,2,3,2,1,2,1,3,2,05:33:49,231
127,36,0,2,Research & Development,1,3,1,5,Healthcare Representative,196360,1,12,1,10,3,10,9,0,2,3,3,05:45:23,236
128,30,1,3,Sales,3,2,0,3,Research Scientist,11290,9,19,0,3,2,1,0,0,3,3,2,07:31:57,240
129,37,0,2,Research & Development,10,1,0,1,Sales Executive,133410,1,14,1,18,3,18,12,17,4,2,3,05:55:59,240
130,40,0,2,Research & Development,6,2,0,3,Research Scientist,43320,7,14,2,8,3,5,1,3,4,3,2,05:53:21,230
131,42,0,2,Research & Development,2,3,1,4,Manager,110310,3,12,1,8,2,5,1,2,2,3,2,06:44:14,235
132,37,0,2,Sales,9,1,0,3,Sales Executive,44400,2,11,1,18,3,1,0,1,3,2,2,09:18:43,245
133,43,0,2,Sales,10,2,1,1,Sales Executive,46170,1,11,0,25,2,25,3,9,1,3,3,06:40:37,235
134,40,0,2,Sales,6,2,1,1,Laboratory Technician,26470,6,13,0,20,2,1,0,0,2,3,2,06:50:05,238
135,54,0,2,Human Resources,9,3,1,2,Manufacturing Director,63230,4,23,1,24,2,4,1,2,1,2,2,05:13:03,227
136,34,0,1,Research & Development,28,3,0,1,Laboratory Technician,56770,9,20,1,6,3,3,1,2,3,3,3,06:09:00,234
137,31,0,2,Research & Development,10,4,0,3,Sales Executive,21870,1,15,1,13,2,13,3,12,2,1,2,05:27:02,232
138,43,0,3,Sales,14,3,1,1,Manufacturing Director,37480,7,14,2,NA,3,3,1,2,4,3,2,06:40:30,227
139,43,0,2,Sales,27,4,0,2,Sales Representative,39770,4,18,1,8,3,5,0,2,3,3,3,08:05:48,238
140,25,0,2,Human Resources,7,2,0,1,Manufacturing Director,86330,1,19,1,5,2,5,1,3,2,3,4,09:41:07,232
141,37,0,1,Research & Development,1,3,0,3,Laboratory Technician,20080,3,22,0,15,5,13,10,7,2,3,2,09:32:42,233
142,31,0,2,Research & Development,24,1,0,3,Laboratory Technician,44400,1,13,1,4,2,4,3,2,4,3,3,06:16:33,232
143,39,0,3,Research & Development,26,4,1,1,Sales Executive,30670,1,20,1,21,5,21,1,6,2,3,1,08:27:25,245
144,56,0,3,Research & Development,20,4,1,3,Sales Executive,53210,9,14,0,36,1,7,7,7,3,2,3,06:47:42,239
145,30,0,2,Sales,5,4,1,2,Manufacturing Director,54100,0,17,1,6,2,5,4,4,2,3,3,07:07:15,245
146,41,0,2,Research & Development,7,3,1,3,Research Scientist,27820,1,14,0,10,2,10,0,7,2,3,2,06:07:00,241
147,28,0,2,Research & Development,7,3,0,3,Healthcare Representative,119570,1,13,0,10,2,10,1,8,3,3,2,05:35:59,236
148,25,1,2,Research & Development,5,2,1,3,Laboratory Technician,26600,5,13,0,6,3,2,0,2,1,3,3,05:51:08,236
149,52,0,2,Research & Development,26,2,1,2,Sales Representative,33750,2,21,0,28,2,5,0,4,4,3,2,07:37:48,243
150,45,0,2,Research & Development,2,3,1,1,Sales Executive,50980,3,14,1,8,4,2,0,2,1,2,3,06:09:49,237
151,52,0,2,Research & Development,12,3,0,2,Research Scientist,48780,2,11,1,31,3,5,1,4,4,1,3,06:34:29,235
152,42,0,3,Sales,10,3,1,2,Healthcare Representative,28370,2,13,1,19,0,5,0,2,1,3,2,06:05:26,233
153,30,0,2,Sales,25,3,0,1,Sales Executive,24060,2,20,1,11,5,5,0,2,3,3,3,06:27:10,230
154,60,0,2,Research & Development,10,3,1,1,Manufacturing Director,22690,5,18,1,33,4,29,11,10,1,1,3,05:28:46,232
155,46,0,2,Sales,19,4,1,1,Sales Executive,41080,2,14,0,19,5,10,0,8,3,2,2,06:54:38,237
156,42,0,3,Research & Development,18,4,0,4,Sales Executive,132060,0,13,2,7,2,6,0,4,4,4,3,06:00:50,238
157,24,1,2,Research & Development,27,2,0,1,Research Scientist,104220,1,17,1,6,0,5,1,4,1,3,2,09:37:44,236
158,34,1,3,Research & Development,5,3,0,2,Research Scientist,137440,0,20,1,3,3,2,1,0,4,2,3,05:23:46,227
159,38,0,3,Sales,3,3,1,2,Sales Executive,49070,1,11,1,1,3,1,0,0,4,3,3,07:48:07,237
160,40,0,2,Sales,26,4,1,1,Sales Executive,34820,0,18,1,21,2,20,1,12,3,3,2,05:17:19,230
161,26,0,2,Research & Development,3,2,1,4,Healthcare Representative,24360,1,24,0,3,2,3,0,2,1,1,4,05:27:48,227
162,30,0,1,Research & Development,15,3,1,2,Sales Executive,23800,4,18,3,9,2,5,1,4,3,1,2,07:05:16,234
163,29,0,2,Research & Development,8,3,1,3,Manufacturing Director,194310,1,11,0,10,3,10,0,7,2,3,3,06:39:12,242
164,29,1,2,Research & Development,19,4,0,3,Research Scientist,17900,5,16,1,6,4,2,1,1,3,4,2,06:02:23,237
165,19,1,2,Research & Development,4,3,0,1,Sales Executive,76440,1,15,2,1,2,1,0,0,1,4,3,07:05:18,234
166,30,0,1,Research & Development,2,4,1,3,Research Scientist,51310,0,15,1,10,2,9,7,8,3,3,3,06:09:09,239
167,57,0,2,Research & Development,2,2,0,4,Research Scientist,63060,3,12,1,32,3,1,0,0,1,2,3,05:34:03,231
168,50,0,2,Sales,10,4,1,3,Manager,47870,0,12,0,28,3,27,15,7,2,3,3,06:40:59,243
169,30,0,1,Sales,10,2,0,3,Laboratory Technician,188800,0,22,1,12,3,11,6,7,3,2,3,05:46:50,240
170,60,0,3,Research & Development,16,3,1,4,Laboratory Technician,23390,4,20,0,22,4,18,13,11,3,4,3,06:23:18,231
171,47,0,2,Research & Development,1,3,0,5,Manufacturing Director,135700,5,16,2,20,2,5,0,4,1,3,2,06:52:54,230
172,46,0,2,Sales,4,1,0,1,Laboratory Technician,67120,6,21,1,26,3,3,0,1,1,1,2,06:18:35,242
173,35,0,2,Research & Development,15,2,1,2,Laboratory Technician,54060,0,12,1,6,2,5,4,3,4,3,3,05:48:48,234
174,54,0,2,Research & Development,2,4,0,2,Human Resources,89380,7,11,3,19,2,1,0,0,3,3,3,07:03:54,241
175,34,0,2,Sales,8,2,0,1,Laboratory Technician,24390,3,11,2,14,2,7,5,7,4,3,4,06:48:04,234
176,46,0,2,Research & Development,2,3,0,1,Healthcare Representative,88370,2,18,0,15,3,3,1,2,3,3,2,08:13:48,234
177,31,0,2,Research & Development,7,3,0,2,Research Director,53430,1,14,1,13,3,13,0,8,3,4,3,05:46:02,236
178,33,1,2,Research & Development,10,3,1,4,Research Director,67280,7,22,0,15,2,7,7,7,2,4,2,07:36:02,234
179,33,1,2,Sales,5,4,0,2,Research Director,66520,7,25,0,8,5,4,1,3,1,3,3,06:30:41,244
180,30,0,2,Research & Development,2,3,0,1,Sales Executive,48500,0,12,1,4,4,3,1,2,4,3,3,05:58:43,241
181,35,0,2,Research & Development,12,2,1,2,Sales Representative,28090,4,23,1,10,2,8,0,0,4,3,1,08:13:47,242
182,31,1,3,Research & Development,22,2,1,2,Sales Executive,56890,3,15,2,12,2,1,0,0,1,3,2,05:45:19,228
183,34,1,3,Sales,17,1,0,1,Research Director,20010,9,22,1,11,5,3,0,2,2,3,4,09:59:04,237
184,42,0,3,Research & Development,2,4,1,1,Research Scientist,29770,4,15,3,8,3,2,2,0,2,3,2,07:03:45,236
185,36,0,1,Research & Development,3,4,0,1,Research Scientist,40250,1,11,0,10,3,10,9,7,2,2,3,06:45:30,244
186,22,1,3,Research & Development,7,3,1,2,Laboratory Technician,37850,5,13,2,4,2,2,1,2,3,3,3,05:45:19,234
187,48,0,2,Research & Development,6,3,0,1,Laboratory Technician,108540,2,14,1,14,6,9,6,7,2,3,3,06:00:01,231
188,55,0,2,Research & Development,1,3,1,1,Sales Executive,120310,3,11,0,37,5,10,7,7,1,3,3,06:37:34,234
189,41,0,1,Research & Development,3,2,1,2,Research Scientist,99360,7,17,1,16,2,14,1,10,4,3,2,05:27:24,230
190,35,0,2,Research & Development,22,3,1,1,Sales Representative,29660,9,18,0,15,2,11,6,9,2,3,2,05:22:10,233
191,40,0,2,Research & Development,15,3,1,2,Laboratory Technician,25710,7,14,0,22,1,20,5,13,2,3,3,06:49:32,244
192,39,0,3,Research & Development,12,1,0,1,Research Scientist,99910,1,16,1,8,3,8,0,7,3,3,3,06:32:52,242
193,31,0,2,Research & Development,1,4,0,3,Research Director,61420,4,13,2,10,2,6,0,5,2,4,2,08:05:23,242
194,42,0,2,Research & Development,5,3,0,3,Sales Executive,53900,1,14,0,10,3,10,5,8,4,2,3,09:46:21,236
195,45,0,2,Research & Development,2,1,1,4,Sales Executive,44040,0,23,0,9,2,8,3,7,4,4,3,06:25:00,226
196,26,1,3,Research & Development,2,1,1,2,Laboratory Technician,59930,0,12,0,8,3,7,1,0,NA,2,3,08:35:31,244
197,29,0,2,Research & Development,5,3,0,1,Research Scientist,51300,4,11,0,8,3,3,1,2,4,4,2,06:27:30,228
198,33,0,2,Research & Development,16,3,1,1,Laboratory Technician,20900,4,16,0,10,2,6,0,5,1,3,3,06:50:07,241
199,31,0,2,Research & Development,2,4,1,1,Sales Executive,29090,9,14,2,10,2,5,0,1,3,2,3,06:01:03,234
200,18,1,3,Research & Development,2,3,0,1,Sales Executive,34680,1,18,2,0,4,0,0,0,2,3,4,08:31:23,241
201,40,0,1,Research & Development,1,4,1,2,Laboratory Technician,30680,3,19,0,20,3,1,0,1,3,3,2,06:18:03,239
202,41,0,1,Research & Development,23,3,0,2,Manufacturing Director,26700,2,15,2,10,2,8,0,7,1,3,2,08:11:20,230
203,26,0,2,Research & Development,9,4,0,3,Healthcare Representative,26930,5,17,3,8,3,0,0,0,1,3,2,05:16:43,229
204,35,0,2,Research & Development,16,4,0,2,Human Resources,95260,1,15,0,5,2,5,0,3,1,3,2,05:31:34,228
205,34,0,2,Research & Development,26,3,0,1,Laboratory Technician,52370,1,19,1,10,3,10,5,7,4,3,2,05:49:01,237
206,26,1,2,Sales,1,3,1,2,Manufacturing Director,24260,1,22,0,1,3,1,0,0,3,1,1,07:48:45,233
207,37,0,2,Research & Development,8,1,0,1,Sales Executive,41930,4,16,1,12,5,6,1,2,2,4,3,06:47:43,240
208,46,0,3,Research & Development,4,1,0,5,Human Resources,29110,5,13,0,28,3,2,1,2,1,2,3,05:24:46,228
209,41,0,2,Research & Development,24,1,0,1,Research Director,26610,7,14,1,22,2,18,11,8,2,3,3,07:03:24,239
210,37,0,1,Research & Development,7,2,0,1,Sales Executive,20280,1,16,1,9,3,9,7,7,1,3,3,06:55:53,241
211,52,0,2,Sales,2,1,0,1,Laboratory Technician,99800,NA,11,1,18,2,10,6,9,4,3,3,08:29:04,244
212,32,1,1,Research & Development,7,2,1,2,Research Director,32980,8,22,0,6,4,4,1,2,4,3,2,05:32:02,241
213,24,0,3,Sales,22,3,1,1,Healthcare Representative,29350,0,14,2,3,5,2,2,1,4,3,2,05:35:31,242
214,38,0,2,Research & Development,5,3,1,1,Research Scientist,154270,3,16,1,18,2,1,0,0,3,3,3,05:30:46,239
215,37,0,2,Research & Development,1,4,1,5,Research Scientist,39440,6,11,2,8,3,6,4,3,2,2,3,06:15:53,237
216,49,0,2,Sales,21,1,0,1,Sales Executive,40110,1,18,2,31,2,31,0,9,4,3,1,09:57:20,241
217,24,0,2,Sales,1,3,1,1,Sales Executive,34070,1,15,2,6,2,6,1,4,2,3,2,07:57:02,231
218,26,0,2,Research & Development,19,4,1,4,Sales Executive,119940,1,14,1,6,6,5,1,4,1,4,3,06:50:45,242
219,24,0,2,Sales,7,3,1,1,Laboratory Technician,12320,1,12,0,1,4,1,0,0,4,3,1,06:03:56,232
